ApprovalFiscalYear,GrossApproval,NaicsCode,InitialInterestRate,BorrState,JobsSupported,LoanStatus
2012,1530000,111110,5.666666667,IA,12,PIF
2013,1858400,111110,6.1275,VA,24,CANCLD
2014,620000,111110,5.625,WA,21,PIF
2015,183000,111110,5.333333333,AL,6,PIF
2016,5795500,111110,5.694444444,ND,61,EXEMPT
2017,772300,111110,6.358333333,MS,11,EXEMPT
2018,7744400,111110,5.838888889,MO,28,EXEMPT
2019,6668800,111110,6.88,PA,28,EXEMPT
2020,8962500,111110,7.185,VA,68,EXEMPT
2013,970000,111120,6,IL,23,EXEMPT
2017,175000,111120,8.25,NC,4,EXEMPT
2019,20000,111120,11.38,FL,0,CANCLD
2013,2656000,111140,6.5625,ID,6,PIF
2014,25000,111140,5.75,WA,1,EXEMPT
2015,130000,111140,6,CA,20,EXEMPT
2016,135700,111140,6.995,ND,1,PIF
2017,15000,111140,9,CA,0,EXEMPT
2018,70000,111140,5.75,WA,0,EXEMPT
2019,75000,111140,7.875,CO,1,EXEMPT
2020,30000,111140,8.375,WA,1,CANCLD
2013,5788000,111150,5.32,WI,8,EXEMPT
2014,359800,111150,5.0475,ID,6,PIF
2015,520000,111150,5.394,MN,12,EXEMPT
2016,7516000,111150,5.727272727,MN,47,EXEMPT
2017,721200,111150,5.666666667,MN,6,EXEMPT
2018,2342700,111150,6.204545455,NC,14,PIF
2019,540500,111150,7.0625,MN,4,EXEMPT
2016,138000,111160,6,CA,0,EXEMPT
2015,3014200,111191,5.635,MN,6,EXEMPT
2016,569600,111191,5.125,MN,4,EXEMPT
2017,7608300,111191,5.6875,MN,22,CANCLD
2018,1211900,111191,4.85,MN,0,CANCLD
2012,2402500,111199,6.6875,MN,19,EXEMPT
2013,1446500,111199,6.916666667,PR,25,CANCLD
2014,1641000,111199,6.15,MN,41,CHGOFF
2015,3194500,111199,6.678,IN,69,EXEMPT
2016,1338900,111199,7.466666667,SD,10,PIF
2017,5365900,111199,5.558333333,WI,21,CANCLD
2019,210000,111199,9.916666667,MN,5,EXEMPT
2020,20000,111199,11.5,PR,3,EXEMPT
2012,1050000,111211,5.745,MS,30,CANCLD
2014,115000,111211,5.75,VT,8,PIF
2015,30000,111211,6.25,VT,1,PIF
2016,20000,111211,8.5,ME,7,EXEMPT
2017,2100000,111211,5.25,WA,6,PIF
2018,8238400,111211,6.271428571,MA,182,EXEMPT
2019,350000,111211,7.11,NE,1,CANCLD
2012,405000,111219,7.6,NC,79,CANCLD
2013,4079000,111219,5.428,VA,104,EXEMPT
2014,85500,111219,6.5,NE,11,PIF
2015,8350800,111219,6.375,GA,102,EXEMPT
2016,5500800,111219,6.88047619,PR,66,EXEMPT
2017,3850900,111219,7.35625,NY,75,EXEMPT
2018,1139000,111219,7.412727273,WI,67,EXEMPT
2019,5151200,111219,8.112857143,VA,145,EXEMPT
2020,1435000,111219,9.293333333,CA,3,EXEMPT
2013,157100,111310,6.8,NY,2,CANCLD
2016,3593800,111310,5.25,FL,25,EXEMPT
2018,10000,111310,11,FL,0,EXEMPT
2015,180000,111320,6,FL,3,PIF
2016,3944000,111320,6,CA,21,PIF
2017,275000,111320,6.75,CA,17,EXEMPT
2018,15000,111320,11,TX,1,EXEMPT
2019,115000,111320,8.625,CA,28,CANCLD
2012,3689800,111331,5.5,MN,22,PIF
2015,395000,111331,6,ME,41,EXEMPT
2016,143000,111331,7.71875,ME,12,PIF
2017,643200,111331,5.87,NY,40,PIF
2018,3350000,111331,5.285,PA,200,EXEMPT
2019,656200,111331,7.5,CA,10,EXEMPT
2012,1854000,111332,5.5625,GA,5,EXEMPT
2013,250000,111332,5.375,MI,5,CANCLD
2014,559000,111332,5.875,OR,6,PIF
2015,4619000,111332,6.041666667,MI,90,EXEMPT
2016,3573000,111332,7,NY,56,CANCLD
2017,4623300,111332,6.011428571,PA,38,PIF
2018,2855000,111332,6.714285714,OH,53,EXEMPT
2019,655000,111332,7.0625,MI,25,EXEMPT
2020,40000,111332,10.25,CA,55,COMMIT
2013,1628000,111333,6.04,CA,68,EXEMPT
2015,112000,111333,6.5,VT,100,PIF
2016,670000,111333,5.125,VT,26,EXEMPT
2017,1147000,111333,5.375,CA,170,EXEMPT
2018,1520000,111333,6.875,CA,136,EXEMPT
2019,980000,111333,6.75,VA,60,EXEMPT
2012,1795000,111334,5.833333333,IN,18,PIF
2013,875000,111334,4.35,NE,70,CHGOFF
2014,1460400,111334,5.3,GA,14,EXEMPT
2016,3092200,111334,5.15,GA,50,EXEMPT
2017,2736000,111334,6.248,MI,91,PIF
2018,5432100,111334,6.87375,GA,304,EXEMPT
2019,1096000,111334,6.75,GA,27,EXEMPT
2013,105000,111335,8.635,NM,22,PIF
2014,25000,111335,8.97,CA,4,PIF
2015,9760000,111335,3.875,GA,64,PIF
2016,10350000,111335,4.726666667,GA,20,PIF
2017,10030000,111335,6.4375,GA,18,PIF
2018,5010000,111335,7.75,GA,11,EXEMPT
2019,5015000,111335,7.75,GA,10,PIF
2020,10015000,111335,6.716666667,AL,11,EXEMPT
2013,16700,111336,3.9,WA,4,PIF
2017,75000,111336,7.08,FL,0,COMMIT
2018,145000,111336,9.31,UT,8,EXEMPT
2014,897000,111339,5.65,WA,20,EXEMPT
2015,2717500,111339,6.15,MI,92,PIF
2016,201000,111339,7.35,HI,62,CANCLD
2017,20000,111339,8.5,WA,0,EXEMPT
2018,50000,111339,11.5,PR,0,EXEMPT
2019,1011000,111339,6.9375,CA,74,EXEMPT
2012,3602800,111411,5.755,MN,252,PIF
2013,5010100,111411,5.75,UT,110,PIF
2014,100000,111411,6,MO,3,EXEMPT
2015,2176000,111411,5.39,PA,71,PIF
2016,350000,111411,6,FL,25,EXEMPT
2017,15000,111411,9.25,AK,0,PIF
2018,2735000,111411,6.75,CA,30,EXEMPT
2019,45000,111411,11.29,NH,1,EXEMPT
2020,86500,111411,5,ME,14,COMMIT
2012,65000,111419,5.78,IL,5,PIF
2013,798100,111419,5.25,MI,22,PIF
2014,597500,111419,6.05,CT,18,PIF
2015,1904000,111419,6.285714286,CA,74,CHGOFF
2016,8893700,111419,6.898666667,FL,158,EXEMPT
2017,2666000,111419,5.995,TX,95,EXEMPT
2018,8152500,111419,7.385714286,CT,55,EXEMPT
2019,3961300,111419,7.678181818,OH,31,EXEMPT
2012,8607700,111421,6.18125,GA,403,PIF
2013,17184100,111421,5.742916667,CA,470,CANCLD
2014,17745700,111421,5.636378378,PA,544,EXEMPT
2015,18233900,111421,6.060769231,CA,273,PIF
2016,14529700,111421,5.868,MN,442,CHGOFF
2017,11513900,111421,6.165909091,CT,432,EXEMPT
2018,20066500,111421,7.058333333,FL,245,EXEMPT
2019,5118900,111421,7.83,CO,145,EXEMPT
2020,4720000,111421,7.767,OH,163,COMMIT
2012,575000,111422,6,NJ,24,EXEMPT
2013,795000,111422,5.5,NC,5,EXEMPT
2014,5033900,111422,5.8125,NY,42,PIF
2015,535000,111422,5.166666667,MA,69,EXEMPT
2016,1116000,111422,6.206666667,ME,70,PIF
2017,521000,111422,7.58,WI,5,EXEMPT
